Given Name,Amount,Position
DOLORES,1,345
DORA,1,345
DORN,1,345
DRUE,1,345
DULCIE,1,345
EILLEEN,1,345
ELA,1,345
ELDRENE,1,345
ELISABETH-FRANCIS,1,345
ELLA,1,345
ELLENE,1,345
ELLERSLIE,1,345
ELOISE,1,345
ELSPETH,1,345
ELVINA,1,345
ELWYN,1,345
ELWYNNE,1,345
EMILY,1,345
ERYL,1,345
ESME,1,345
EVA,1,345
EVANGELENE,1,345
EVANGELINA,1,345
EVELYNNE,1,345
EVON,1,345
FENELLA,1,345
FLEUR,1,345
FLORRIE,1,345
FLOY,1,345
FRANCE,1,345
FRANCESCA,1,345
FREADA,1,345
GAE,1,345
GAEL,1,345
GAELENE,1,345
GAENOR,1,345
GALE,1,345
GAYBREIL,1,345
GAYLA,1,345
GAYLE,1,345
GEMMA,1,345
GENA,1,345
GERALDEANE,1,345
GERTRUDE,1,345
GILIAN,1,345
GLENETH,1,345
GLENIS,1,345
GLENISS,1,345
GLENNE,1,345
GREER,1,345
GWEN,1,345
GWENITH,1,345
GWENNETH,1,345
GWENYTH,1,345
GWLENYS,1,345
GWYNETH,1,345
GYWENDA,1,345
HEATHERBELL,1,345
HELEENA,1,345
HELLEN,1,345
HOPE,1,345
HYRELL,1,345
INA,1,345
ISABEL,1,345
ISABELL,1,345
ISABELLE,1,345
ISMAY,1,345
ISOBEL,1,345
JACQUALINE,1,345
JANENNE,1,345
JANETH,1,345
JANETT,1,345
JANFERIE,1,345
JANIENNE,1,345
JANISE,1,345
JANITHA,1,345
JANNE,1,345
JANNETTE,1,345
JANNINE,1,345
JASMINE,1,345
JAYNE,1,345
JEANENNE,1,345
JEANNE,1,345
JENEANNE,1,345
JENENE,1,345
JENICE,1,345
JENNIFA,1,345
JENNINE,1,345
JENNY,1,345
JENNY-LEE,1,345
JEREDENE,1,345
JILLENE,1,345
JOANNA,1,345
JOANNE,1,345
JOHANNE,1,345
JUANNE,1,345
JUDYTH,1,345
JULE,1,345
JULENE,1,345
JULIANN,1,345
JULIANNE,1,345
JULIET,1,345
JULLENE,1,345
JUNESSE,1,345
JUNETTE,1,345
JUNICE,1,345
KAAREN,1,345
KAILEEN,1,345
KARLENE,1,345
KARMA,1,345
KARREN,1,345
KATHLEAN,1,345
KATHLYN,1,345
KATHRINE,1,345
KATHRYNE,1,345
KERIN,1,345
KRISTIN,1,345
LAMONA,1,345
LANA,1,345
LANCIA,1,345
LAONIE,1,345
LAURELIE,1,345
LAURENE,1,345
LAURICE,1,345
LAVERA,1,345
LAVINIA,1,345
LEANETT,1,345
LEDA,1,345
LEON,1,345
LEONNE,1,345
LEVERNE,1,345
LILLIAN,1,345
LINA,1,345
LINLEY,1,345
LINNET,1,345
LISBETH,1,345
LOEEN,1,345
LOREEN,1,345
LORRETTA,1,345
LOUIS,1,345
LURLEEN,1,345
LYN,1,345
LYNDA,1,345
LYNDALL,1,345
LYNDLEY,1,345
LYNN,1,345
LYNNETT,1,345
MABEL,1,345
MADELEINE,1,345
MADELINA,1,345
MADELINE,1,345
MAIDA,1,345
MAISIE,1,345
MANDE,1,345
MANTATJARA,1,345
MARAGRET,1,345
MARALEEN,1,345
MARCENE,1,345
MAREA,1,345
MAREE,1,345
MARGARETTE,1,345
MARGGRET,1,345
MARGHERITA,1,345
MARGO,1,345
MARGRETTE,1,345
MARGUERITA,1,345
MARITA,1,345
MARLEY,1,345
MARRLYN,1,345
MARSHA,1,345
MARVAN,1,345
MARY-ANN,1,345
MARYLYNN,1,345
MATILDA,1,345
MATILDE,1,345
MAY,1,345
MAYLENE,1,345
MELODIE,1,345
MELVIS,1,345
MERCY,1,345
MERELYN,1,345
MERIDEE,1,345
MERIDY,1,345
MERON,1,345
MERRIEN,1,345
MERRIWYNE,1,345
MERRON,1,345
MICHELLE,1,345
MINA,1,345
MOLLY,1,345
MORAG,1,345
MOYA,1,345
MOYRA,1,345
MYRAL,1,345
MYRNA,1,345
MYRTLE,1,345
NADIA,1,345
NANETTE,1,345
NARDINA,1,345
NATALEY,1,345
NEADRA,1,345
NERINE,1,345
NESLA,1,345
NETA,1,345
NETTA,1,345
NGAROMA,1,345
NICOLETTE,1,345
NITA,1,345
NOALINE,1,345
NOELEEN,1,345
NOELENE,1,345
NOELLA,1,345
NOLLEEN,1,345
NORENE,1,345
NORIS,1,345
OLIVIA,1,345
OLWYN,1,345
ORIEL,1,345
PAMELIA,1,345
PAMELLA,1,345
PASQUA,1,345
PATREA,1,345
PATRISIA,1,345
PAULEEN,1,345
PETRINA,1,345
PHILLIPPA,1,345
RAELEN,1,345
RAELYN,1,345
RAYELENE,1,345
RAYMOND,1,345
REGINA,1,345
RENATA,1,345
RENE,1,345
RENEE,1,345
REYLIENE,1,345
RHYL,1,345
RILLA,1,345
RINA,1,345
ROMLA,1,345
ROMLEA,1,345
ROSA,1,345
ROSABELLE,1,345
ROSALINE,1,345
ROSALYN,1,345
ROSE-MARIE,1,345
ROSEANNE,1,345
ROSELENE,1,345
ROSELIE,1,345
ROSELYN,1,345
ROSILYN,1,345
ROSINE,1,345
ROSINELLA,1,345
ROSSLYNE,1,345
ROXANE,1,345
ROYCELYN,1,345
ROYLINE,1,345
ROYSLEA,1,345
SANDA,1,345
SANTA,1,345
SARA,1,345
SARAH,1,345
SHANNA,1,345
SHAREN,1,345
SHARRON,1,345
SHAUNA,1,345
SHEFIA,1,345
SHELBY,1,345
SHELLEY,1,345
SHELLIE,1,345
SHIRLEY-ANNE,1,345
SINGNE,1,345
STEPHNIE,1,345
SUELLEN,1,345
SUNNY,1,345
SUSSAN,1,345
TERINA,1,345
TERRAL,1,345
TERRI,1,345
TERRY,1,345
THALIA,1,345
THEODORA,1,345
THERISE,1,345
TIRESA,1,345
TRENNA,1,345
TRESNA,1,345
TRUDY,1,345
TRYPHENA,1,345
VALERI,1,345
VALESKA,1,345
VASILIA,1,345
VERENA,1,345
VERNA,1,345
VERNICE,1,345
VICKY,1,345
VILMA,1,345
VINA,1,345
VINCENZA,1,345
VIOLANDA,1,345
VIOLET,1,345
VIVIEN,1,345
VIVONNE,1,345
VYRIAN,1,345
WILMA,1,345
WINSOME,1,345
YEVETTE,1,345
YNIS,1,345
YVONNIE,1,345
ZOE,1,345
MARGARET,322,1
HELEN,252,2
JUDITH,184,3
CHRISTINE,180,4
JENNIFER,172,5
PAMELA,171,6
PATRICIA,169,7
HEATHER,141,8
LORRAINE,129,9
JANICE,125,10
BARBARA,121,11
ELIZABETH,121,11
SANDRA,117,13
BEVERLEY,112,14
ROSEMARY,106,15
LYNETTE,104,16
JANET,100,17
SUSAN,100,17
DIANNE,96,19
JILLIAN,93,20
MARY,92,21
PAULINE,90,22
MARILYN,87,23
SHIRLEY,87,23
RAELENE,80,25
KAY,75,26
ANNE,72,27
WENDY,72,27
MARLENE,71,29
KATHLEEN,63,30
MAUREEN,60,31
JOAN,58,32
VALERIE,56,33
CAROL,54,34
MARIE,54,34
ELAINE,51,36
KAYE,49,37
COLLEEN,48,38
ANN,46,39
CAROLYN,46,39
GLENYS,45,41
YVONNE,45,41
JOSEPHINE,44,43
MAXINE,43,44
JUNE,37,45
JULIE,36,46
DENISE,35,47
DIANA,35,47
SUZANNE,35,47
BETTY,34,50
DIANE,33,51
DOROTHY,33,51
GLORIA,33,51
JEANETTE,33,51
LEONIE,32,55
RHONDA,31,56
ANNETTE,30,57
LESLEY,30,57
RUTH,30,57
BEVERLY,29,60
GERALDINE,27,61
ROBYN,26,62
KATHRYN,25,63
CATHERINE,24,64
IRENE,24,64
CYNTHIA,22,66
JANETTE,22,66
ROSALIE,22,66
FRANCES,21,69
MEREDITH,21,69
CHERYL,20,71
FAYE,20,71
KAYLENE,20,71
NANCY,19,74
CAROLE,17,75
SUSANNE,17,75
ALISON,16,77
DAWN,16,77
JOY,16,77
MARION,16,77
MERILYN,16,77
ROSALIND,16,77
ROSLYN,16,77
ROSSLYN,16,77
BRONWYN,15,85
CARMEL,15,85
FAY,15,85
JOYLEEN,15,85
LOIS,15,85
BERYL,14,90
CORALIE,14,90
DEIDRE,14,90
GLENDA,14,90
THELMA,14,90
AILEEN,13,95
BRENDA,13,95
CLAIRE,13,95
EILEEN,13,95
JACQUELINE,13,95
JEAN,13,95
RAYLENE,13,95
VERONICA,13,95
ANDREA,12,103
GAIL,12,103
JOYLENE,12,103
MARJORIE,12,103
MONICA,12,103
ELLEN,11,108
KAREN,11,108
VALDA,11,108
CAROLINE,10,111
DEIRDRE,10,111
DOREEN,10,111
EVELYN,10,111
GWENDA,10,111
JOYCE,10,111
LARAINE,10,111
MARIA,10,111
PENELOPE,10,111
RONDA,10,111
UNNAMED,10,111
JILL,9,122
LORNA,9,122
NATALIE,9,122
ROMA,9,122
VALMA,9,122
VIRGINIA,9,122
VIVIENNE,9,122
CORAL,8,129
KAYLEEN,8,129
LYNNETTE,8,129
MARCIA,8,129
MAVIS,8,129
MIGNON,8,129
PRUDENCE,8,129
STEPHANIE,8,129
VALMAI,8,129
VICKI,8,129
ADRIENNE,7,139
BRONWEN,7,139
DAPHNE,7,139
ELEANOR,7,139
GILLIAN,7,139
JANE,7,139
JULIA,7,139
KERRY,7,139
NORMA,7,139
ROBIN,7,139
SYLVIA,7,139
ANNA,6,150
ANTHEA,6,150
BERNICE,6,150
CARLENE,6,150
CLAUDIA,6,150
GAYNOR,6,150
IRIS,6,150
JENIFER,6,150
MICHELE,6,150
NANETTE,6,150
RAELEEN,6,150
RAYLEEN,6,150
SALLY,6,150
ANGELA,5,163
AUDREY,5,163
BETH,5,163
EDITH,5,163
EDNA,5,163
ERICA,5,163
GENEVIEVE,5,163
GWENDOLINE,5,163
HAZEL,5,163
HELENA,5,163
JAN,5,163
JANINE,5,163
JANNETTE,5,163
JOCELYN,5,163
LEE,5,163
LEONE,5,163
LESLIE,5,163
LYNNE,5,163
NOLA,5,163
NOREEN,5,163
PHYLLIS,5,163
RITA,5,163
SHARON,5,163
THERESA,5,163
WINIFRED,5,163
CECILIA,4,188
CECILY,4,188
DEANNA,4,188
DENICE,4,188
ENID,4,188
GAYE,4,188
GLENICE,4,188
GLENNIS,4,188
JANIS,4,188
JEANNETTE,4,188
JULIENNE,4,188
LILLIAN,4,188
LOUISE,4,188
MARIAN,4,188
MELVA,4,188
MERYL,4,188
PEGGY,4,188
ROSEMARIE,4,188
TANYA,4,188
TERESA,4,188
TONI,4,188
VICTORIA,4,188
ALICE,3,210
ATHALIE,3,210
AVIS,3,210
BRONTE,3,210
CHARMAINE,3,210
CHRISTOBEL,3,210
ELSIE,3,210
ELVA,3,210
EVONNE,3,210
GAEL,3,210
GAY,3,210
GRETA,3,210
GWENETH,3,210
ISABEL,3,210
JOANNE,3,210
KATHIE,3,210
KATHLYN,3,210
KRISTINE,3,210
LINDLEY,3,210
LORIS,3,210
MARALYN,3,210
MARGOT,3,210
MIRIAM,3,210
MYRA,3,210
NAOMI,3,210
NELLIE,3,210
NOELA,3,210
PAMELLA,3,210
PAULA,3,210
PAULENE,3,210
RUBY,3,210
SONJA,3,210
STELLA,3,210
SYBIL,3,210
TRUDY,3,210
UNA,3,210
ADELE,2,246
ALEXANDRA,2,246
AMELIA,2,246
ANGELINA,2,246
ANTOINETTE,2,246
ARLENE,2,246
ASHLEY,2,246
AVERIL,2,246
BARBRA,2,246
BEATRICE,2,246
BONNIE,2,246
BONNY,2,246
BRIDGET,2,246
BRIONY,2,246
CARYLL,2,246
CELIA,2,246
CHRISANTHY,2,246
CHRISTINA,2,246
